 ,Area,Mean,Min,Max,Angle,Length
1,1125.230,202.031,96,251,-30.256,219.006
2,842.197,169.189,65,240,-99.620,157.228
3,786.971,136.105,95,197,-129.936,147.346
4,717.938,144.183,77,234,-30.018,136.549
5,745.551,210.120,104,254,9.819,138.656
6,690.325,206.270,110,255,-88.807,126.143
7,793.874,181.748,88,255,-136.397,152.389
8,579.873,167.369,107,251,-156.615,105.914
9,1187.359,131.773,99,244,-128.346,224.455
10,669.615,157.969,81,233,-72.350,121.317
11,400.389,149.793,82,234,-25.641,72.860
12,572.970,129.855,78,250,50.906,108.331
13,1228.779,163.331,96,221,-40.815,229.127
14,1214.972,208.295,108,253,-80.647,226.338
15,469.421,168.206,108,239,-17.879,85.582
16,676.519,168.296,82,253,-63.970,125.732
17,614.389,178.573,84,252,-64.654,110.476
18,1491.102,147.565,101,241,-14.689,279.766
19,1007.875,188.973,104,253,-30.828,189.701
20,945.745,157.606,85,224,-68.839,174.678
21,1953.620,145.703,84,224,-18.435,332.343
22,1263.295,209.792,138,254,-123.341,239.022
23,786.971,190.061,98,254,-117.031,144.531
24,1387.553,201.502,107,252,12.907,258.769
25,786.971,203.763,90,251,24.274,146.994
26,1546.328,189.098,70,253,-62.507,290.266
27,1546.328,189.098,70,253,-62.507,290.266
28,869.810,167.302,93,250,8.393,162.007
29,607.486,161.239,101,243,-135.000,107.756
30,828.390,143.817,84,225,-85.073,152.955
31,780.067,209.655,78,251,-101.310,133.972
32,1705.103,208.846,92,253,-45.659,323.288
33,1173.553,180.276,89,229,-74.805,220.530
34,1387.553,198.746,102,253,-64.983,260.948
35,3707.045,106.482,44,239,-79.196,700.803
36,2726.784,92.744,41,219,-21.371,519.137
37,1277.101,146.951,27,229,52.125,239.656
38,1256.392,115.242,39,205,57.189,237.588
39,1284.005,228.731,100,255,74.141,240.361
40,1408.263,156.020,70,239,22.751,264.964
41,1256.392,154.522,89,250,-9.673,234.546
42,938.842,201.537,89,254,-49.214,176.975
43,2015.749,157.723,59,235,-15.673,379.312
44,1870.781,151.646,78,246,-32.471,342.572
45,1056.197,138.719,58,238,-27.255,195.066
46,1290.908,136.011,64,228,-54.605,244.955
47,1221.875,122.842,56,224,-66.975,228.388
48,959.552,101.353,64,203,-119.745,169.462
49,1159.746,166.446,40,236,-26.565,193.877
50,938.842,181.662,59,213,10.460,173.667
51,952.649,110.971,57,179,-77.196,177.831
52,2001.943,96.748,38,201,48.926,379.894
53,1946.717,111.135,49,200,-56.650,368.005
54,2402.331,135.684,48,201,47.571,455.633
55,980.262,119.570,49,222,65.283,182.221
56,607.486,152.591,50,220,110.556,112.243
57,317.550,151.043,80,221,45.000,55.736
58,2015.749,202.370,83,253,-6.780,378.364
59,773.164,210.429,100,253,-112.782,142.487
60,1063.101,167.286,88,232,11.459,198.382
61,745.551,213.139,117,254,29.055,135.254
62,579.873,194.833,64,254,-99.926,106.693
63,1132.133,139.165,73,232,-31.931,213.613
64,745.551,142.417,84,249,-81.870,130.050
65,690.325,199.360,85,244,8.297,127.449
66,510.841,175.541,71,230,-58.496,95.531
67,814.584,151.771,58,238,-99.951,152.049
68,786.971,142.228,73,254,-65.298,144.603
69,1104.520,116.575,46,221,-59.899,209.551
70,745.551,143.046,47,226,-159.829,137.155
71,1201.166,130.322,45,226,-102.894,223.715
72,1311.618,154.537,98,255,54.958,247.102
73,987.165,192.371,91,250,153.435,164.501
74,1076.907,175.135,79,241,153.768,202.105
75,759.358,151.691,73,228,131.285,143.356
76,814.584,169.983,93,244,-48.447,154.482
77,780.067,196.991,104,253,2.121,141.977
78,925.036,205.612,89,254,47.437,174.796
79,897.423,169.762,82,246,107.301,167.866
80,600.583,177.667,96,249,106.699,109.724
81,883.616,160.273,83,250,161.274,163.681
82,745.551,176.102,98,251,164.055,133.895
83,697.228,142.762,102,201,70.821,127.963
84,1560.135,161.549,110,235,77.583,293.247
85,566.067,209.098,163,235,19.359,103.040
86,759.358,219.827,84,250,99.638,141.246
87,980.262,207.423,100,254,-43.854,185.823
88,1573.941,192.232,84,254,9.211,295.452
89,1035.488,191.433,90,250,13.465,191.818
90,856.003,154.137,80,250,57.095,159.603
91,1532.522,156.631,45,220,-7.907,286.483
92,248.517,177.361,96,245,40.236,44.743
93,1705.103,108.194,60,196,39.685,320.931
94,1649.877,66.134,49,170,-84.094,306.405
95,2043.362,168.466,65,228,44.449,386.452
96,2140.008,163.387,59,238,-10.138,403.030
97,1159.746,127.500,66,198,-41.121,219.730
98,1125.230,166.663,62,215,-48.013,212.089
99,2001.943,127.007,85,196,-3.601,376.462
100,1194.262,150.630,61,209,-1.364,220.764
101,1995.039,70.879,40,157,19.708,373.978
102,1042.391,176.834,58,236,-105.524,196.336
103,973.358,149.589,52,237,-84.958,179.358
104,814.584,169.992,70,219,0.000,152.389
105,1083.810,142.962,39,245,15.124,201.404
106,876.713,131.142,65,227,37.235,165.004
107,890.519,110.620,63,220,-84.472,163.660
108,1056.197,137.490,35,196,-20.376,196.195
109,780.067,141.637,24,205,-61.557,143.428
110,1021.681,161.818,56,223,45.000,182.070
111,1145.940,97.169,33,175,-61.220,212.836
112,607.486,160.409,38,203,31.866,114.466
113,469.421,157.632,62,210,115.769,84.609
114,524.647,81.684,34,171,-71.075,97.214
115,462.518,158.642,57,229,-36.870,78.822
116,566.067,90.878,57,142,1.469,102.502
117,621.293,82.867,31,179,44.091,117.060
118,1332.327,151.171,76,229,76.551,248.536
119,856.003,179.427,72,238,-39.685,160.465
120,994.068,146.542,86,241,-80.134,184.012
121,773.164,181.107,90,247,39.144,145.673
122,1021.681,142.182,86,212,-41.186,195.508
123,1035.488,168.607,79,250,-68.344,192.232
124,1380.650,153.025,50,203,-2.921,257.820
125,1608.457,155.901,48,226,7.989,302.460
126,676.519,128.490,29,195,-109.573,125.484
127,1525.618,56.290,41,74,-84.710,284.973
128,2457.557,129.980,67,227,0.000,465.050
129,931.939,108.200,64,234,38.928,175.624
130,1132.133,176.457,75,235,24.326,210.488
131,1152.843,184.000,63,247,8.531,212.544
132,1063.101,155.026,68,241,26.906,197.405
133,648.906,209.915,85,250,51.147,121.459
134,918.132,156.977,80,239,47.490,171.084
135,428.002,133.645,87,239,128.367,80.426
136,490.131,175.085,93,250,-130.236,89.486
137,704.132,129.127,90,233,-46.591,133.817
138,2381.621,164.423,99,232,64.335,448.909
139,1732.716,120.016,108,215,41.100,327.742
140,1332.327,173.005,61,250,26.030,251.463
141,1235.682,184.162,69,253,49.538,234.826
142,1332.327,133.720,66,229,17.281,247.646
143,1221.875,165.898,65,208,-100.539,229.834
144,1428.973,120.092,84,217,-52.907,270.099
145,1884.587,153.183,65,239,68.356,356.166
