 ,Area,Mean,Min,Max,Angle,Length
1,4179.120,84.389,45,172,-64.093,401.500
2,3540.274,90.571,29,229,17.879,336.109
3,3460.418,179.400,25,224,65.037,330.076
4,2555.386,187.635,38,247,14.931,240.283
5,2901.428,109.780,34,209,22.620,268.285
6,2102.870,60.962,22,154,-83.660,186.879
7,2023.014,37.934,13,81,17.447,189.285
8,2395.674,176.389,29,235,-72.408,221.911
9,2848.190,110.346,26,231,-37.304,272.420
10,1117.981,53.190,14,116,-8.973,99.242
11,2262.581,80.812,26,204,-8.531,208.682
12,3886.316,103.514,17,204,-42.221,376.206
13,2235.963,146.048,28,214,-8.746,203.581
14,2395.674,154.900,11,221,-25.974,223.822
15,1570.497,174.390,55,205,-42.274,153.398
16,2129.488,150.575,29,201,-90.000,201.214
17,1490.642,127.339,30,189,-38.991,139.397
18,1224.456,127.674,55,167,39.806,120.887
19,3034.521,110.132,32,218,-67.620,284.559
20,2182.725,59.598,10,127,-154.722,205.403
21,2342.437,41.807,5,201,-83.211,218.222
22,2342.437,137.943,24,226,51.546,224.000
23,1224.456,123.565,24,209,24.228,113.153
24,2422.293,128.945,22,206,-135.000,218.891
25,2502.149,38.702,8,114,-91.273,232.227
26,1943.158,71.918,19,158,-73.610,182.847
27,1783.446,93.701,29,192,-59.036,180.503
28,1943.158,152.836,12,207,-16.390,182.847
29,2023.014,99.711,14,217,62.021,186.950
30,2049.632,129.403,15,216,-109.440,186.022
31,2156.107,140.444,32,191,-80.538,188.298
32,1943.158,109.616,34,172,-71.565,163.152
33,2076.251,108.974,23,178,-1.548,190.965
34,1650.353,135.452,78,177,17.819,151.740
35,2129.488,177.250,144,204,-90.000,201.214
36,1384.167,129.885,25,188,21.371,127.426
37,2102.870,79.987,27,173,51.340,198.215
38,3167.614,124.034,33,192,12.095,295.481
39,2928.046,99.209,17,175,-87.839,273.639
40,2582.004,55.526,15,168,-4.970,238.224
41,3699.986,83.403,25,181,20.556,352.650
42,2608.623,138.133,20,237,-4.865,243.365
43,2448.911,136.511,16,237,-15.593,230.328
44,2129.488,179.287,82,238,19.855,197.475
45,1437.404,89.574,31,233,31.329,138.919
46,2715.097,126.216,24,225,85.333,253.648
47,2182.725,73.683,24,235,62.784,203.057
48,2395.674,139.111,28,212,58.815,229.169
49,1650.353,133.387,38,231,48.991,157.254
50,1943.158,108.863,25,227,-45.000,175.113
51,1330.930,55.460,33,215,-38.290,124.894
52,1703.590,140.125,21,192,-45.000,153.224
53,2076.251,149.962,40,202,-20.376,192.630
54,4072.646,108.922,32,222,-49.399,380.533
55,3220.851,123.603,20,238,-3.945,299.951
56,2182.725,185.671,35,233,-2.936,201.478
57,1889.921,190.239,33,242,53.130,180.576
58,1810.065,83.779,34,222,62.650,168.450
59,2023.014,138.250,24,231,-90.000,190.895
60,1730.209,73.369,20,184,-97.595,156.149
61,2448.911,146.761,28,196,-104.349,228.995
62,2023.014,123.105,25,199,138.240,193.664
63,1916.539,126.861,30,169,-5.194,170.960
64,1916.539,93.875,21,181,88.315,175.493
65,1437.404,150.056,38,206,-119.745,124.787
66,3007.902,124.204,52,177,-109.093,283.903
67,1384.167,71.077,41,148,-109.179,125.638
68,1117.981,116.905,45,224,46.975,105.860
69,1703.590,166.766,40,220,74.578,155.209
70,1490.642,65.018,28,188,-51.009,139.397
71,2448.911,137.554,28,198,-23.703,231.020
72,2448.911,146.870,42,235,1.302,227.069
73,1543.879,90.569,22,188,-49.399,142.700
74,1543.879,60.466,22,182,-104.534,143.907
75,1464.023,170.291,20,223,-41.987,138.823
76,1623.735,174.836,71,209,24.775,147.740
77,1171.218,166.114,50,214,-30.069,113.270
78,1650.353,138.823,38,188,0.000,154.780
79,1064.744,182.100,34,213,30.466,101.758
80,1171.218,133.455,22,207,98.531,104.341
81,1117.981,80.548,30,214,80.538,94.149
82,1384.167,166.173,23,216,48.180,131.537
83,1171.218,136.773,37,212,46.848,113.153
84,1916.539,75.375,22,200,15.255,176.476
85,1810.065,153.118,36,204,54.866,170.336
86,1676.972,100.952,24,195,55.305,163.152
87,1836.683,64.696,26,121,78.690,157.845
88,1330.930,158.040,60,200,77.735,121.436
89,1730.209,104.569,15,202,86.186,155.123
90,1330.930,109.400,33,162,38.290,124.894
91,2342.437,120.170,31,219,49.686,223.286
92,1384.167,62.404,29,159,78.232,126.482
93,1543.879,134.707,39,194,45.000,138.631
94,1597.116,147.067,61,182,40.815,149.976
95,1490.642,101.321,40,155,36.870,128.983
96,2608.623,131.500,70,184,77.471,237.833
97,1676.972,98.063,45,198,81.870,145.928
98,1836.683,79.232,55,126,86.424,165.420
99,2555.386,78.385,16,206,-52.651,246.624
100,2209.344,44.771,28,68,-63.435,184.586
101,1410.786,108.491,49,152,38.660,132.143
102,2475.530,139.387,35,230,-15.945,225.363
103,1650.353,74.065,30,221,41.009,157.254
104,2076.251,150.859,40,241,23.806,191.730
105,1863.302,63.471,33,237,-90.000,175.417
106,1437.404,145.685,38,226,15.642,133.944
107,2874.809,115.546,43,213,-10.008,267.191
108,2023.014,118.342,38,239,-97.907,187.518
109,2448.911,65.500,25,146,-67.479,228.995
110,2209.344,74.855,26,226,57.095,208.937
111,2076.251,106.795,26,199,26.565,173.049
112,5110.771,129.620,29,192,5.528,482.058
113,2342.437,126.000,58,205,-53.393,224.949
