 ,Area,Mean,Min,Max,Angle,Length
1,2046.513,124.641,27.352,215.147,36.690,356.870
2,1227.908,156.983,42.675,231.133,106.991,211.220
3,1731.665,64.202,23.021,224.333,17.103,305.279
4,850.090,188.909,44.744,226.923,6.582,146.857
5,1007.514,162.176,32.821,232.000,51.633,171.759
6,1196.423,153.553,33.667,203.333,0.000,207.612
7,1133.453,155.193,30.438,198.333,-86.730,196.710
8,976.029,126.866,29.667,198.096,-42.274,166.831
9,1605.726,127.054,39.000,208.204,-47.420,281.956
10,1353.847,86.618,26.000,163.167,-34.439,238.126
11,976.029,97.971,48.133,149.560,-46.332,170.656
12,1101.969,38.846,30.804,44.451,83.290,192.094
13,1164.938,64.666,33.000,101.000,24.444,203.399
14,2361.361,116.129,42.677,218.333,-66.194,417.040
15,4785.692,137.883,15.948,225.746,43.394,849.415
16,850.090,158.790,147.089,168.753,-69.444,143.825
17,1637.210,113.489,45.000,157.758,4.485,287.047
18,724.151,88.283,33.187,174.667,39.472,123.572
19,850.090,125.499,50.582,173.667,-27.553,145.565
20,850.090,83.676,31.333,161.962,-79.114,148.563
21,1290.877,151.493,40.453,227.827,-45.000,222.190
22,1322.362,52.913,26.667,212.333,-90.000,230.056
23,6265.478,135.478,40.879,206.662,-16.144,1109.884
24,4848.661,100.325,34.906,219.000,-9.401,858.815
25,2550.270,87.145,31.116,193.688,-58.299,448.470
26,1574.241,112.433,39.000,180.723,-40.855,274.487
27,1952.058,99.789,30.124,196.667,-122.905,340.850
28,2266.907,78.177,32.458,133.130,11.310,400.558
29,1605.726,139.680,39.729,196.360,12.653,281.788
30,1416.817,81.166,37.773,173.644,-3.900,247.463
31,913.060,144.476,31.333,204.510,27.474,158.111
32,1700.180,66.642,17.667,192.755,-95.389,298.711
33,1385.332,119.025,33.372,191.527,2.663,241.540
34,2424.331,64.486,36.793,119.645,-52.980,428.692
35,1448.301,145.071,33.000,216.057,-41.424,254.426
36,1353.847,145.632,50.937,216.367,-49.844,234.932
37,1353.847,145.632,50.937,216.367,-49.844,234.932
38,1353.847,198.543,67.667,236.407,-53.673,236.800
39,1070.484,65.727,35.215,114.000,57.265,186.776
40,976.029,123.086,41.711,236.244,-60.018,168.427
41,881.575,182.459,91.795,225.046,-72.897,152.639
42,1763.150,175.787,30.667,236.986,26.095,306.154
43,1164.938,137.964,35.833,226.667,-9.462,204.787
44,3274.421,150.616,32.014,209.559,62.939,579.687
45,3463.330,71.359,50.204,151.000,-71.232,610.403
46,1511.271,86.793,25.167,170.771,-111.125,264.677
47,2707.694,76.692,29.144,221.145,-58.921,478.265
48,1668.695,131.272,27.333,204.513,-70.866,291.023
49,1322.362,153.897,66.667,196.484,-37.147,232.304
50,850.090,137.166,39.949,199.205,8.746,147.606
51,1322.362,93.131,24.887,188.121,34.077,230.330
52,1605.726,87.402,22.939,204.000,101.535,280.613
53,1353.847,94.771,29.796,210.160,22.306,236.534
54,1700.180,98.635,31.532,142.808,59.589,299.290
55,1322.362,101.779,57.686,135.333,-64.058,230.876
56,1416.817,85.657,34.667,127.375,46.848,246.124
57,1574.241,103.103,31.333,202.177,95.826,276.373
58,850.090,103.770,25.333,163.667,69.444,143.825
59,1164.938,123.654,38.000,216.617,33.690,202.312
60,2172.452,164.275,31.408,213.879,-37.208,380.441
61,1920.574,55.245,17.889,212.667,-114.444,338.998
62,1259.393,152.262,12.667,200.205,-41.878,218.546
63,1794.634,69.018,23.583,151.583,-82.875,316.669
64,1574.241,113.909,32.605,172.322,-126.634,272.703
65,1038.999,123.768,38.333,182.417,-172.875,180.954
66,629.696,116.830,38.182,164.380,-53.746,104.373
67,1416.817,109.903,24.667,180.928,39.472,247.145
68,1574.241,117.243,40.667,209.330,-9.462,273.050
69,1857.604,126.093,17.134,172.496,-80.049,324.719
70,1637.210,110.870,29.128,189.333,-79.796,285.065
71,5289.449,51.977,25.813,135.138,54.980,938.671
72,1290.877,177.372,161.000,196.333,-29.745,226.192
73,1731.665,52.502,18.778,195.889,-83.660,304.866
74,2266.907,101.805,18.285,215.754,33.465,396.846
75,881.575,163.999,24.354,222.880,-36.027,152.639
76,755.636,153.098,37.325,222.667,-102.804,126.593
77,1290.877,155.969,36.335,228.273,-14.381,225.913
78,1070.484,109.320,28.256,183.108,-51.072,187.533
79,2455.816,155.558,49.256,223.400,-119.560,432.203
80,1479.786,97.924,20.760,179.767,-108.825,260.842
81,1101.969,174.338,45.611,221.333,-73.142,193.482
82,1731.665,131.987,26.000,206.551,-26.565,301.125
83,1259.393,145.197,93.889,227.321,-75.256,220.483
84,1448.301,104.993,31.495,242.667,-56.659,255.229
85,1353.847,157.636,31.546,236.222,-27.181,233.385
86,1479.786,183.846,34.710,249.290,2.490,258.356
87,913.060,179.477,55.395,246.927,-43.531,154.790
88,1070.484,43.639,27.240,90.545,10.620,182.685
89,1227.908,146.886,38.439,212.807,-7.496,215.061
90,1385.332,101.959,24.471,185.808,-107.592,241.344
91,1952.058,120.555,23.919,181.561,-65.943,344.114
92,1763.150,59.372,32.921,181.967,-15.803,309.071
93,1731.665,161.446,58.667,194.046,60.124,304.142
94,1038.999,112.998,33.333,176.531,64.231,180.692
95,1164.938,150.330,43.333,210.094,-32.347,199.254
96,1448.301,143.574,25.668,207.403,-44.091,249.995
97,1290.877,45.228,13.083,137.333,43.995,226.192
98,976.029,163.479,27.728,206.356,-50.440,167.396
99,1511.271,189.720,52.658,226.778,-63.435,263.484
100,1290.877,167.053,31.080,227.033,-20.225,227.234
101,1290.877,101.356,22.557,201.822,-34.875,225.704
102,1290.877,103.706,26.292,171.053,-55.125,225.704
103,2109.483,132.791,36.684,208.000,-70.463,369.143
104,2140.967,146.400,35.109,222.848,-56.547,376.615
105,1416.817,103.284,38.530,162.182,1.302,246.954
106,881.575,125.329,62.309,161.037,10.491,154.076
107,1542.756,78.975,29.708,145.667,-30.343,266.573
108,1164.938,160.413,35.350,198.978,-72.072,200.515
109,1448.301,94.357,23.622,152.119,-77.196,253.186
110,1668.695,49.635,16.708,133.528,-110.171,292.910
111,1164.938,108.954,19.056,205.963,-3.180,202.312
112,1479.786,169.174,24.240,206.370,-21.571,259.450
113,1101.969,173.294,62.157,214.196,29.539,193.482
114,1227.908,89.536,27.408,129.436,-27.897,215.865
115,2140.967,46.364,25.303,107.232,-58.449,375.317
116,1700.180,74.786,19.106,151.333,-35.789,297.443
117,1605.726,71.688,37.790,112.333,35.272,281.788
118,1700.180,51.538,22.761,102.636,-56.611,295.691
119,976.029,55.217,25.827,149.000,74.578,168.801
