 ,Area,Mean,Min,Max,Angle,Length
1,2995.408,99.370,14.513,217.239,-113.962,482.124
2,1647.475,75.281,17.478,223.288,-52.595,261.906
3,1535.147,148.144,23.917,213.333,-130.914,242.919
4,1048.393,194.081,163.000,211.811,-107.103,166.456
5,1310.491,150.892,51.000,232.216,-6.710,209.482
6,1497.704,60.137,21.003,191.000,-55.491,237.620
7,1759.802,74.181,21.826,130.449,-82.569,283.860
8,1684.917,76.811,15.658,228.638,-46.848,268.402
9,2021.901,53.902,27.605,153.704,-52.696,323.094
10,1722.360,139.357,14.333,211.355,-20.854,275.016
11,2957.966,106.598,17.026,183.410,-67.380,477.285
12,1909.573,107.585,28.667,185.970,-43.363,303.000
13,1160.721,143.219,75.000,176.347,53.130,183.571
14,1722.360,187.835,62.000,238.813,-100.305,273.652
15,1834.688,96.758,28.278,180.889,-67.751,290.896
16,1160.721,77.859,22.258,137.133,23.199,186.405
17,1160.721,203.662,53.089,228.956,29.982,183.673
18,1347.934,184.498,39.528,236.848,-34.592,215.560
19,1572.589,149.822,27.719,199.333,-36.027,249.684
20,1759.802,96.104,39.348,227.333,-85.030,282.538
21,2171.671,83.462,30.667,195.018,4.014,349.643
22,1647.475,80.707,38.713,143.140,6.633,264.891
23,1160.721,82.422,26.652,157.081,47.726,181.932
24,2283.999,101.922,33.147,189.055,169.439,367.244
25,1984.458,90.604,40.919,171.667,-63.925,320.184
26,1460.262,181.177,41.333,234.579,-82.504,234.528
27,1684.917,139.209,33.333,196.879,-30.069,268.681
28,1085.836,128.444,39.774,161.810,-100.125,174.043
29,1160.721,138.065,33.333,203.333,80.538,186.103
30,1722.360,94.315,22.720,170.107,-32.276,275.016
31,2134.228,122.346,22.750,222.077,-84.898,344.029
32,1535.147,167.277,40.547,232.947,-36.870,244.761
33,1347.934,71.444,32.667,225.000,-33.232,212.146
34,1347.934,154.491,29.333,222.333,0.000,214.166
35,1048.393,123.534,66.298,233.667,-36.027,166.456
36,1347.934,49.655,30.122,95.333,14.826,215.213
37,1048.393,97.427,72.667,132.247,-98.427,167.017
38,898.622,145.212,24.386,185.372,-102.804,138.052
39,1310.491,145.450,34.059,186.690,45.000,207.687
40,1198.163,129.968,30.075,195.667,-99.162,192.142
41,711.409,146.939,103.340,195.000,-19.440,110.312
42,786.295,140.441,23.667,191.067,-36.870,122.381
