 ,Area,Mean,Min,Max,Angle,Length
1,2896.603,137.984,32.183,217.715,45.444,511.845
2,2140.967,68.949,18.299,184.392,76.171,375.611
3,2739.179,130.028,18.350,213.771,47.366,480.498
4,976.029,89.427,13.356,154.951,-61.699,165.695
5,1101.969,175.358,29.510,221.510,81.634,192.830
6,2046.513,118.024,26.656,207.500,5.356,360.687
7,1385.332,128.135,22.818,194.333,-32.574,239.708
8,1322.362,136.717,34.525,213.145,74.249,227.372
9,976.029,186.897,32.000,230.367,43.668,170.656
10,1007.514,162.756,31.333,222.286,67.521,176.104
11,692.666,186.817,36.540,218.048,-46.975,115.131
12,755.636,124.476,58.206,223.042,64.537,130.512
13,598.211,105.718,35.444,222.444,40.601,103.464
14,1101.969,116.106,31.569,225.569,-29.539,193.482
15,1290.877,182.328,47.333,232.523,16.144,221.977
16,1227.908,203.707,170.000,225.029,-66.801,213.666
17,1070.484,159.437,33.458,227.333,-107.879,182.771
18,692.666,188.027,30.000,217.340,-52.595,120.083
19,818.605,172.712,97.942,221.658,14.036,138.812
20,1511.271,188.190,31.826,228.239,-64.537,261.023
21,1038.999,187.817,34.000,229.260,34.695,177.440
22,1826.119,159.399,17.667,222.972,-72.525,317.662
23,787.120,112.558,26.898,186.000,36.384,132.427
24,724.151,115.607,48.353,166.344,-63.435,125.469
25,535.242,123.080,109.333,130.273,-37.569,92.029
26,1290.877,170.338,45.855,230.687,-108.886,225.355
27,1133.453,121.480,51.384,162.667,43.831,194.456
28,1196.423,54.663,23.120,93.662,-69.624,209.499
29,1164.938,189.570,80.986,223.823,-50.599,203.321
30,818.605,94.022,36.307,188.360,-4.574,140.727
31,2015.028,103.102,27.469,227.397,20.450,353.323
32,1448.301,133.008,41.933,207.333,7.595,254.736
33,1227.908,104.530,21.553,218.052,-57.995,211.741
34,976.029,99.769,36.060,158.667,66.038,165.790
35,913.060,118.497,42.408,226.054,45.000,158.707
36,1448.301,152.484,29.333,217.438,45.000,253.931
37,1731.665,62.344,25.420,205.667,63.435,301.125
38,1668.695,181.680,140.205,219.872,-41.082,290.319
39,1164.938,91.700,38.156,169.181,63.435,200.750
40,913.060,167.933,30.667,217.755,34.824,157.212
41,1101.969,141.368,40.667,189.972,-34.160,189.869
42,755.636,146.234,38.296,206.111,-35.842,129.986
43,913.060,117.656,27.667,220.667,-42.138,158.905
44,1385.332,162.795,37.000,217.191,61.074,243.616
45,1826.119,98.241,27.423,205.667,68.385,319.884
46,1353.847,101.471,31.813,211.497,21.038,234.462
47,976.029,128.285,35.778,196.333,60.018,168.427
48,1290.877,117.066,38.699,222.000,167.005,224.586
49,850.090,184.710,57.504,235.873,-142.696,148.138
50,1479.786,147.104,34.249,220.873,-15.255,255.907
51,1353.847,125.447,50.406,197.667,-49.844,234.932
52,1889.089,35.672,17.448,92.990,101.689,332.338
53,1227.908,47.996,31.628,96.408,-70.145,214.768
54,818.605,155.543,35.144,208.669,-11.768,137.559
55,881.575,175.396,90.358,202.667,-45.000,150.771
56,724.151,141.850,55.667,194.063,-18.435,124.208
57,1637.210,157.390,36.237,193.452,-102.407,287.266
58,1322.362,177.212,49.771,232.340,-72.897,228.959
59,1353.847,117.159,35.694,222.286,-67.694,236.534
60,1259.393,134.976,42.033,197.316,11.889,217.897
61,1479.786,115.039,37.000,209.064,-27.121,258.478
62,1385.332,51.963,32.293,210.333,-24.775,241.018
63,1952.058,136.578,55.142,204.825,-96.546,344.525
64,1322.362,114.920,35.826,177.617,12.680,230.056
65,1133.453,111.768,60.952,224.912,166.759,195.988
66,976.029,175.931,55.000,217.876,-72.759,170.379
67,913.060,161.621,38.333,200.583,34.824,157.212
68,1038.999,135.022,24.083,214.240,48.814,178.941
69,944.544,173.477,91.000,217.170,-17.819,165.028
70,1448.301,168.001,30.000,228.415,-60.573,251.251
71,976.029,125.155,81.000,146.074,-50.440,167.396
72,913.060,39.812,22.095,112.667,-14.534,156.509
73,1070.484,179.542,40.170,233.799,-37.569,184.059
74,1290.877,116.270,34.667,204.021,16.144,221.977
75,1574.241,142.693,33.482,209.563,32.381,272.415
76,4124.511,94.919,30.186,207.189,-39.693,729.210
77,2046.513,173.947,31.214,220.415,-8.130,357.090
78,1700.180,78.084,33.413,172.840,-66.801,299.132
79,2959.573,93.801,23.650,191.583,-83.797,519.265
80,2046.513,173.475,38.422,225.333,-28.179,356.473
81,3116.997,153.189,54.873,225.667,-74.539,547.251
82,1479.786,54.341,38.353,81.964,-76.264,259.935
83,1353.847,145.759,36.524,209.222,83.211,237.332
84,850.090,167.682,43.000,207.833,152.447,145.565
85,2487.300,132.094,51.333,186.040,-71.333,438.279
