 ,Area,Mean,Min,Max,Angle,Length
1,2279.659,149.039,30.738,233.745,-75.735,369.141
2,1433.979,163.340,51.958,251.333,-68.199,228.579
3,1581.054,109.712,33.857,250.476,30.256,252.720
4,955.986,208.590,104.067,249.600,-11.310,154.595
5,1286.904,221.893,31.000,252.773,-26.565,203.383
6,1691.360,130.059,37.006,210.212,-110.854,272.530
7,1544.285,115.703,37.000,246.000,-99.926,246.235
8,1360.442,141.626,43.667,247.681,80.272,215.326
9,1250.136,128.196,48.242,206.333,47.490,197.420
10,1507.516,146.263,30.000,240.793,71.114,243.532
11,1250.136,73.685,33.000,245.000,23.429,198.257
12,919.217,134.220,50.375,237.852,-114.444,146.536
13,955.986,78.767,19.933,133.600,78.690,154.595
14,1139.830,39.820,23.000,85.711,32.619,179.981
15,845.680,146.779,79.000,191.664,-39.472,133.540
16,1176.598,204.167,49.897,250.484,-52.765,190.405
17,625.068,159.234,32.333,206.807,42.510,98.710
18,1066.292,75.670,25.410,178.082,27.474,170.864
19,1838.435,136.096,35.959,234.624,-29.168,298.604
20,1139.830,105.848,27.142,152.333,-43.668,184.421
21,1139.830,157.676,35.941,212.593,70.346,180.287
22,1838.435,202.610,110.333,245.594,75.964,300.016
23,919.217,195.250,127.667,231.593,53.616,143.109
24,1103.061,186.167,96.333,240.023,-88.025,175.952
25,1066.292,146.196,36.357,183.952,83.884,170.756
26,1433.979,120.492,55.951,209.609,-25.201,227.854
27,955.986,167.861,63.086,243.640,33.690,153.041
28,845.680,192.239,81.479,250.176,26.565,135.589
29,882.449,175.495,73.343,247.038,145.620,139.597
30,1103.061,208.075,68.667,252.369,49.185,176.266
31,698.605,243.493,153.333,252.444,6.340,109.819
32,955.986,203.595,88.307,252.611,11.768,148.654
33,661.837,177.099,67.667,245.561,-115.017,100.372
34,2279.659,199.726,70.925,251.617,-114.057,371.870
35,1507.516,213.236,83.972,251.067,-38.884,241.485
36,955.986,154.840,83.787,248.973,-53.130,151.593
37,882.449,214.140,88.000,250.319,-4.970,139.992
38,2206.122,184.408,38.395,252.593,63.004,360.677
39,1654.591,160.642,55.800,249.467,80.754,264.172
40,1654.591,174.575,54.674,251.355,-28.301,268.589
41,1764.897,123.388,39.496,210.355,6.072,286.603
42,1728.129,154.874,40.000,248.822,-12.529,279.524
43,1360.442,214.855,49.667,253.138,27.979,219.721
44,1544.285,152.344,47.854,244.333,-109.747,251.261
45,1617.823,190.909,38.000,246.799,-49.686,262.427
46,2426.734,217.682,16.333,253.112,-67.380,394.142
47,1286.904,124.556,48.333,253.000,-86.634,206.523
48,1103.061,193.205,75.000,252.772,51.953,177.098
49,1250.136,197.534,54.335,251.229,28.887,200.836
50,955.986,136.183,70.447,182.371,28.610,151.956
51,772.143,212.689,70.983,249.040,-32.905,122.781
52,808.911,146.832,63.782,213.667,16.699,126.614
53,1433.979,183.648,78.495,243.479,-16.991,228.257
54,477.993,200.575,111.630,253.333,19.983,70.974
55,808.911,179.056,119.066,248.667,-31.430,127.914
56,808.911,64.519,48.667,84.667,-46.975,124.417
57,1544.285,146.333,45.000,243.335,-30.964,247.501
58,2316.428,105.192,44.231,250.699,-108.726,377.756
59,2279.659,189.251,44.830,252.460,-62.592,368.842
60,2867.958,196.266,18.333,252.468,-55.069,465.960
61,1875.203,185.746,49.667,251.093,70.115,303.065
62,1470.748,169.758,69.667,251.000,90.000,236.485
63,1139.830,165.746,33.333,246.917,39.560,180.898
64,1728.129,156.087,31.398,246.865,51.147,280.312
65,882.449,162.542,76.665,226.153,12.804,136.804
66,772.143,124.451,47.383,227.533,-87.138,121.426
67,625.068,115.883,101.333,123.073,45.000,94.329
68,1691.360,152.392,52.333,242.644,-5.080,273.943
69,1213.367,194.694,43.417,252.784,-57.804,193.470
70,1433.979,230.440,100.319,254.333,41.760,227.612
71,1139.830,92.763,60.333,144.000,95.711,182.819
72,1029.523,192.645,64.289,250.446,66.251,165.618
73,1433.979,83.093,40.053,235.000,-83.991,231.694
74,1838.435,182.772,43.871,252.422,-28.142,295.696
75,1728.129,143.685,35.000,226.341,-109.231,276.149
76,882.449,152.223,79.709,179.480,39.806,142.077
77,1764.897,116.974,36.836,198.197,-106.113,284.026
78,1948.741,141.584,40.576,247.667,-73.301,316.535
79,1176.598,168.748,51.000,241.377,60.945,187.289
80,1397.210,156.860,33.000,230.630,154.134,222.382
81,1286.904,180.671,63.333,230.843,-30.379,203.835
82,772.143,138.644,37.667,224.000,-84.289,121.879
83,1103.061,161.417,44.724,236.966,1.975,175.952
84,882.449,161.383,78.000,193.333,9.866,141.559
85,1029.523,127.457,24.552,200.040,74.932,163.271
86,1433.979,104.559,11.333,175.101,154.799,227.854
87,1470.748,63.077,21.667,99.641,-1.469,236.563
88,1764.897,195.016,44.555,243.464,-19.983,283.896
89,1286.904,77.948,46.333,163.227,-17.354,203.293
90,2206.122,78.351,27.379,223.000,-42.274,360.575
91,1103.061,168.676,42.322,221.655,-91.975,175.952
92,1323.673,131.779,54.367,248.835,-71.565,210.927
93,625.068,245.167,240.333,249.104,3.576,97.209
94,1066.292,190.366,39.333,251.750,-55.176,169.892
95,1875.203,74.036,24.667,177.838,10.408,302.093
96,1323.673,79.885,37.200,162.333,-47.291,214.556
97,1728.129,146.947,32.547,219.568,31.608,277.676
98,1691.360,192.662,50.800,245.556,-86.186,273.473
99,1691.360,166.463,9.563,243.733,-38.660,271.787
100,1286.904,151.551,36.667,233.566,13.627,205.899
101,1617.823,46.209,24.454,127.098,-9.462,258.189
102,1470.748,173.374,76.955,212.249,-23.962,238.883
103,1801.666,131.884,33.667,229.000,0.000,291.059
104,1911.972,168.549,62.824,225.667,-22.011,307.401
105,1911.972,140.610,44.962,238.596,22.011,307.401
106,1066.292,98.316,44.092,217.782,52.306,168.589
107,992.755,152.115,51.000,229.448,57.529,158.122
108,1507.516,131.700,48.208,216.167,7.125,244.436
109,1176.598,128.726,48.274,192.563,-78.690,185.514
110,1139.830,106.585,42.333,215.333,-3.814,182.315
111,1397.210,90.285,34.216,190.584,-71.075,224.358
112,1801.666,42.033,18.769,205.667,51.710,293.574
113,1250.136,122.739,53.725,230.411,-105.709,201.567
114,1470.748,73.477,14.963,163.633,-55.491,235.472
115,1617.823,54.181,25.353,136.020,-102.095,260.458
116,1360.442,99.323,26.272,208.000,-70.560,218.631
117,1176.598,71.748,15.955,170.662,-121.608,185.117
118,1250.136,46.510,34.000,63.551,14.036,200.011
119,1286.904,144.907,59.189,246.062,-15.255,207.411
120,1029.523,138.792,38.073,251.370,31.329,163.271
121,1176.598,226.855,29.333,251.298,-16.699,189.921
122,1029.523,203.678,42.000,247.272,-109.799,161.117
123,1066.292,159.930,49.500,245.667,-46.469,167.275
124,735.374,104.683,48.333,253.333,0.000,115.211
125,1176.598,165.263,37.000,248.247,-5.528,188.853
126,1617.823,188.645,47.667,251.615,13.392,261.795
127,1323.673,180.383,24.399,251.115,-75.174,213.267
128,1397.210,191.735,37.801,252.400,38.418,224.440
129,1286.904,164.431,31.532,237.433,144.462,208.648
130,1103.061,49.405,27.133,83.098,-60.751,173.744
131,772.143,163.998,31.667,240.783,-81.469,122.631
132,1103.061,104.108,23.199,216.692,-59.036,176.786
133,1213.367,136.281,34.990,238.167,-108.435,191.752
134,1544.285,133.372,34.016,245.823,-77.320,248.613
135,1250.136,194.338,32.333,243.557,-54.866,200.195
136,1360.442,170.703,63.000,241.333,90.000,218.294
137,1581.054,144.614,41.349,238.278,-22.306,255.613
138,1397.210,132.779,38.036,248.433,-64.134,222.382
139,1176.598,173.390,78.333,226.677,-31.608,185.117
140,1654.591,101.109,14.333,184.333,13.092,267.698
141,1250.136,108.273,21.258,177.551,-12.339,198.627
142,1029.523,83.307,38.099,233.333,28.443,165.507
143,1544.285,108.741,31.078,223.717,-105.751,245.712
144,1139.830,145.884,16.644,231.222,-97.595,183.521
145,1029.523,123.832,28.481,199.123,2.121,163.833
146,845.680,93.734,29.727,177.030,-7.765,134.636
147,1139.830,157.100,24.550,218.097,-13.570,180.898
148,1544.285,61.704,5.122,150.894,-1.397,248.686
149,1066.292,97.365,27.000,137.762,-96.116,170.756
150,1323.673,111.898,36.667,220.939,43.831,210.141
151,1139.830,132.460,21.029,192.693,78.311,179.572
152,1029.523,121.280,34.494,208.667,-158.199,163.271
153,1286.904,144.917,4.850,203.181,-67.249,203.835
154,1654.591,199.381,111.237,249.333,-35.838,269.273
155,1507.516,174.309,43.000,239.458,-63.435,244.060
156,1433.979,136.065,35.554,247.432,105.124,232.407
157,1801.666,197.718,44.074,251.083,-9.660,289.094
158,955.986,182.646,45.560,250.333,-2.291,151.714
159,845.680,158.677,41.667,243.273,-84.806,133.952
160,1176.598,110.471,45.957,206.387,-84.472,188.853
161,1360.442,153.442,34.667,254.333,-80.272,215.326
162,1250.136,230.102,41.333,252.618,14.036,200.011
163,919.217,162.249,33.000,226.792,-34.992,148.034
164,1617.823,176.437,13.171,249.696,-9.462,258.189
165,1323.673,183.277,22.667,246.517,-25.115,214.299
166,1544.285,141.067,18.330,236.858,-37.147,251.041
167,2095.816,148.550,39.961,225.917,-124.824,339.785
168,2095.816,145.868,31.365,245.438,26.565,338.972
169,1728.129,117.069,13.493,191.823,-31.608,277.676
170,3823.944,163.604,117.160,206.627,-101.746,625.534
171,1066.292,155.012,49.321,215.271,-42.138,171.722
172,1323.673,168.691,12.750,235.547,14.826,213.267
173,3345.951,167.620,41.015,246.000,39.155,547.383
174,1176.598,191.817,46.455,247.154,137.603,188.853
175,1103.061,135.545,24.184,208.348,-29.249,173.744
176,1544.285,131.069,34.128,215.617,70.253,251.261
177,955.986,78.831,40.933,184.000,101.310,154.595
178,882.449,123.727,90.000,156.207,-37.875,138.274
179,1433.979,147.431,16.000,221.614,-86.987,230.740
180,1103.061,135.533,50.667,185.736,-119.249,173.744
181,1323.673,153.759,49.402,244.411,-130.426,215.070
182,1066.292,219.110,53.684,251.156,-18.435,172.576
183,1985.510,182.469,60.667,236.868,-84.611,322.804
184,1213.367,111.712,54.667,154.513,69.864,193.755
185,1985.510,102.761,37.667,194.534,-51.170,319.138
186,1397.210,98.994,33.422,218.958,-38.418,224.440
187,1764.897,86.960,25.472,179.074,-66.161,285.059
188,1470.748,163.518,33.783,253.331,-68.749,234.220
189,1360.442,148.319,32.572,247.850,52.815,220.723
190,1250.136,133.571,39.667,189.519,-118.887,200.836
